EarTag,LabID,Experiment Started,Group/Cage,O2 Calibration Date,CO2 Calibration Date,Subject Mass [g],Reference Settle Time [s],Reference Measure Time [s],Cage Settle Time [s],Cage Measure Time [s],Reference Method,Heat Calculation Method,INTERVAL [#],CHAN,DATE.TIME,VO2 [ml/kg/hr],O2IN [%],O2OUT [%],DO2,ACCO2 [l],VCO2 [ml/kg/hr],CO2IN [%],CO2OUT [%],DCO2,ACCCO2 [l],RER,HEAT [kcal/hr],FLOW [lpm],STATUS1,FEED1 [g],FEED1.ACC [g],DRINK1 [ml],DRINK1.ACC [ml],XTOT [counts],XAMB [counts],ZTOT [counts]
RHO-2865,6-R,01.09.2010 14:32:37,101,19.09.2019 09:12:57,19.09.2019 09:12:57,28.14,90,30,90,30,EVRYNN=4,STD_0,1,101,01.09.2010 14:36:52 ,2763,20.89,20.58,0.31,0,2175,0.041,0.296,0.256,0,0.787,0.4,0.4,STABLE,0,0,0,0,0,0,0
RHO-2865,6-R,01.09.2010 14:32:37,101,19.09.2019 09:12:57,19.09.2019 09:12:57,28.14,90,30,90,30,EVRYNN=4,STD_0,2,101,01.09.2010 15:16:52 ,2277,20.89,20.63,0.26,0,1792,0.04,0.25,0.211,0,0.787,0.3,0.4,STABLE,0.13,0.13,0,0,42,16,0
RHO-2865,6-R,01.09.2010 14:32:37,101,19.09.2019 09:12:57,19.09.2019 09:12:57,28.14,90,30,90,30,EVRYNN=4,STD_0,3,101,01.09.2010 15:56:52 ,2286,20.89,20.63,0.26,0.1,1770,0.039,0.247,0.208,0.1,0.774,0.3,0.4,STABLE,0,0.13,0,0,15,3,0
RHO-2865,6-R,01.09.2010 14:32:37,101,19.09.2019 09:12:57,19.09.2019 09:12:57,28.14,90,30,90,30,EVRYNN=4,STD_0,4,101,01.09.2010 16:36:52 ,2177,20.89,20.64,0.24,0.1,1713,0.039,0.24,0.201,0.1,0.787,0.3,0.4,STABLE,0,0.13,0,0,44,9,0
RHO-2865,6-R,01.09.2010 14:32:37,101,19.09.2019 09:12:57,19.09.2019 09:12:57,28.14,90,30,90,30,EVRYNN=4,STD_0,5,101,01.09.2010 17:16:52 ,2185,20.89,20.64,0.24,0.2,1691,0.039,0.238,0.199,0.1,0.774,0.3,0.4,STABLE,0.01,0.14,0,0,653,125,25
RHO-2865,6-R,01.09.2010 14:32:37,101,19.09.2019 09:12:57,19.09.2019 09:12:57,28.14,90,30,90,30,EVRYNN=4,STD_0,6,101,01.09.2010 17:56:52 ,2033,20.89,20.66,0.23,0.2,1669,0.039,0.235,0.196,0.2,0.821,0.3,0.4,STABLE,0,0.14,0,0,59,15,0
RHO-2865,6-R,01.09.2010 14:32:37,101,19.09.2019 09:12:57,19.09.2019 09:12:57,28.14,90,30,90,30,EVRYNN=4,STD_0,7,101,01.09.2010 18:36:52 ,2207,20.89,20.64,0.25,0.3,1741,0.039,0.243,0.204,0.2,0.789,0.3,0.4,STABLE,0,0.14,0,0,222,61,7
RHO-2865,6-R,01.09.2010 14:32:37,101,19.09.2019 09:12:57,19.09.2019 09:12:57,28.14,90,30,90,30,EVRYNN=4,STD_0,8,101,01.09.2010 19:16:52 ,4367,20.89,20.4,0.49,0.3,3485,0.039,0.449,0.41,0.2,0.798,0.6,0.4,STABLE,0.07,0.21,0,0,1206,403,142
RHO-2865,6-R,01.09.2010 14:32:37,101,19.09.2019 09:12:57,19.09.2019 09:12:57,28.14,90,30,90,30,EVRYNN=4,STD_0,9,101,01.09.2010 19:56:52 ,3793,20.89,20.45,0.44,0.4,3560,0.039,0.457,0.418,0.3,0.938,0.5,0.4,STABLE,0.22,0.43,0,0,2986,1240,554
RHO-2865,6-R,01.09.2010 14:32:37,101,19.09.2019 09:12:57,19.09.2019 09:12:57,28.14,90,30,90,30,EVRYNN=4,STD_0,10,101,01.09.2010 20:36:52 ,3901,20.89,20.44,0.45,0.5,3642,0.04,0.467,0.428,0.4,0.934,0.5,0.4,STABLE,0.06,0.49,0.04,0.04,3488,1766,1054
