,subject.id,subject.mass,cage,Date.Time,vo2,vco2,ee,rer,feed,feed.acc,drink,drink.acc,xytot,xyamb,wheel,wheel.acc,pedmeter,allmeter,body.temp,hour,day,exp.hour,exp.day,Diet..LF.or.HF.,cal.g,FEED.KCAL.,FEED.ACC.Kcal.,room.temperature.C
1,1_D1,45.57,101,5/11/15 9:55,190.80159,138.9885,0.905670347,0.728445187,0,0,NA,NA,138,85,NA,NA,NA,NA,NA,5/11/15 9:00,5/12/15,0,0,HF,5.21,0,0,22
2,1_D1,45.57,101,5/11/15 10:13,138.94293,98.75019,0.656791797,0.710724828,0,0,NA,NA,542,309,NA,NA,NA,NA,NA,5/11/15 10:00,5/12/15,1,0,HF,5.21,0,0,22
3,1_D1,45.57,101,5/11/15 10:31,148.78605,114.92754,0.713475682,0.772434916,0.13,0.13,NA,NA,779,410,NA,NA,NA,NA,NA,5/11/15 10:00,5/12/15,1,0,HF,5.21,0.6773,0.6773,22
4,1_D1,45.57,101,5/11/15 10:49,137.25684,103.99074,0.655942965,0.757636122,0.04,0.17,NA,NA,563,282,NA,NA,NA,NA,NA,5/11/15 10:00,5/12/15,1,0,HF,5.21,0.2084,0.8857,22
5,1_D1,45.57,101,5/11/15 11:07,117.06933,90.63873,0.561616665,0.774231218,0.02,0.19,NA,NA,181,85,NA,NA,NA,NA,NA,5/11/15 11:00,5/12/15,2,0,HF,5.21,0.1042,0.9899,22
6,1_D1,45.57,101,5/11/15 11:25,118.16301,89.95518,0.565170851,0.76128037,0.01,0.2,NA,NA,107,31,NA,NA,NA,NA,NA,5/11/15 11:00,5/12/15,2,0,HF,5.21,0.0521,1.042,22
7,1_D1,45.57,101,5/11/15 11:43,116.47692,91.27671,0.559987583,0.783646322,0.13,0.33,NA,NA,257,106,NA,NA,NA,NA,NA,5/11/15 11:00,5/12/15,2,0,HF,5.21,0.6773,1.7193,22
8,1_D1,45.57,101,5/11/15 12:01,116.97819,93.05394,0.563928704,0.795481106,0,0.33,NA,NA,97,48,NA,NA,NA,NA,NA,5/11/15 12:00,5/12/15,3,0,HF,5.21,0,1.7193,22
9,1_D1,45.57,101,5/11/15 12:19,112.14777,90.13746,0.541666392,0.803738318,0.14,0.47,NA,NA,173,33,NA,NA,NA,NA,NA,5/11/15 12:00,5/12/15,3,0,HF,5.21,0.7294,2.4487,22
10,1_D1,45.57,101,5/11/15 12:37,125.22636,100.39071,0.60454921,0.801673945,0,0.47,NA,NA,417,93,NA,NA,NA,NA,NA,5/11/15 12:00,5/12/15,3,0,HF,5.21,0,2.4487,22
11,1_D1,45.57,101,5/11/15 12:55,111.96549,85.58046,0.535907985,0.764346764,0,0.47,NA,NA,80,7,NA,NA,NA,NA,NA,5/11/15 12:00,5/12/15,3,0,HF,5.21,0,2.4487,22
12,1_D1,45.57,101,5/11/15 13:13,138.25938,112.78575,0.669621256,0.815754779,0.08,0.55,NA,NA,1031,547,NA,NA,NA,NA,NA,5/11/15 13:00,5/12/15,4,0,HF,5.21,0.4168,2.8655,22
13,1_D1,45.57,101,5/11/15 13:31,121.80861,93.78306,0.583771796,0.769921437,0.01,0.56,NA,NA,555,249,NA,NA,NA,NA,NA,5/11/15 13:00,5/12/15,4,0,HF,5.21,0.0521,2.9176,22
14,1_D1,45.57,101,5/11/15 13:49,112.87689,87.9501,0.542120634,0.779168349,0.02,0.58,NA,NA,77,26,NA,NA,NA,NA,NA,5/11/15 13:00,5/12/15,4,0,HF,5.21,0.1042,3.0218,22
15,1_D1,45.57,101,5/11/15 14:07,114.60855,92.41596,0.553884347,0.806361829,0.13,0.71,NA,NA,20,3,NA,NA,NA,NA,NA,5/11/15 14:00,5/12/15,5,0,HF,5.21,0.6773,3.6991,22
16,1_D1,45.57,101,5/11/15 14:25,128.46183,103.48947,0.620727426,0.805604824,0.04,0.75,NA,NA,214,140,NA,NA,NA,NA,NA,5/11/15 14:00,5/12/15,5,0,HF,5.21,0.2084,3.9075,22
17,1_D1,45.57,101,5/11/15 14:43,125.13522,104.67429,0.608927667,0.836489439,0.09,0.84,NA,NA,173,33,NA,NA,NA,NA,NA,5/11/15 14:00,5/12/15,5,0,HF,5.21,0.4689,4.3764,22
18,1_D1,45.57,101,5/11/15 15:01,113.10474,91.27671,0.546697822,0.807010475,0.09,0.93,NA,NA,71,15,NA,NA,NA,NA,NA,5/11/15 15:00,5/12/15,6,0,HF,5.21,0.4689,4.8453,22
19,1_D1,45.57,101,5/11/15 15:19,111.78321,92.5071,0.542850483,0.827558092,0.04,0.97,NA,NA,151,55,NA,NA,NA,NA,NA,5/11/15 15:00,5/12/15,6,0,HF,5.21,0.2084,5.0537,22
20,1_D1,45.57,101,5/11/15 15:37,125.86434,101.75781,0.608575502,0.808472122,0.1,1.07,NA,NA,238,79,NA,NA,NA,NA,NA,5/11/15 15:00,5/12/15,6,0,HF,5.21,0.521,5.5747,22
21,1_D1,45.57,101,5/11/15 15:55,136.16316,109.86927,0.658134426,0.806894244,0.28,1.35,NA,NA,850,384,NA,NA,NA,NA,NA,5/11/15 15:00,5/12/15,6,0,HF,5.21,1.4588,7.0335,22
22,1_D1,45.57,101,5/11/15 16:13,108.36546,85.85388,0.522022669,0.792262405,0.03,1.38,NA,NA,58,26,NA,NA,NA,NA,NA,5/11/15 16:00,5/12/15,7,0,HF,5.21,0.1563,7.1898,22
23,1_D1,45.57,101,5/11/15 16:31,112.28448,88.8615,0.540793955,0.791396104,0.1,1.48,NA,NA,69,17,NA,NA,NA,NA,NA,5/11/15 16:00,5/12/15,7,0,HF,5.21,0.521,7.7108,22
24,1_D1,45.57,101,5/11/15 16:49,110.14269,86.40072,0.529631538,0.784443525,0.03,1.51,NA,NA,48,20,NA,NA,NA,NA,NA,5/11/15 16:00,5/12/15,7,0,HF,5.21,0.1563,7.8671,22
25,1_D1,45.57,101,5/11/15 17:07,110.82624,91.5957,0.538071056,0.826480263,0.11,1.62,NA,NA,85,21,NA,NA,NA,NA,NA,5/11/15 17:00,5/12/15,8,0,HF,5.21,0.5731,8.4402,22
26,1_D1,45.57,101,5/11/15 17:25,110.18826,89.95518,0.533742362,0.816377171,0,1.62,NA,NA,59,2,NA,NA,NA,NA,NA,5/11/15 17:00,5/12/15,8,0,HF,5.21,0,8.4402,22
27,1_D1,45.57,101,5/11/15 17:43,143.59107,118.52757,0.696983899,0.825452237,-0.02,1.6,NA,NA,835,373,NA,NA,NA,NA,NA,5/11/15 17:00,5/12/15,8,0,HF,5.21,-0.1042,8.336,22
