"X","Subject.ID","Total.Mass","Lean.Mass","Fat.Mass","Time.of.Day","Group","Hourly.Food.Intake","Hourly.Water.Intake","Cumulative.Food.Intake","Cumulative.Water.Intake","Oxygen.Consumption","Carbon.Dioxide.Production","Energy.Expenditure","Respiratory.Exchange.Ratio","Locomotor.Activity","Ambulatory.Activity","Pedestrian.Locomotion","Total.Distance..includes.fine.movement.","Energy.Balance","acclimation"
1,"D1",42.48,24.34,15.86,"Full day","HFD",1.029867123,0,75.1803,NA,129.9215641,98.78100578,0.621272676,0.759278287,455.3483607,162.3237705,NA,NA,0.408594447,TRUE
2,"D1",42.48,24.34,15.86,"Dark","HFD",1.368681081,0,75.1803,NA,137.8033125,103.3472475,0.65738491,0.747986196,594.1129032,227.8387097,NA,NA,0.711296171,TRUE
3,"D1",42.48,24.34,15.86,"Light","HFD",0.681641667,0,62.7284,NA,121.7770908,94.062556,0.583956702,0.770946781,311.9583333,94.625,NA,NA,0.097684965,TRUE
4,"D10",26.26,21.09,3.15,"Light","LFD",0.745961111,0,49.3926,NA,91.394723,87.351453,0.45679731,0.95470289,363.05,133.2666667,NA,NA,0.289163801,TRUE
5,"D10",26.26,21.09,3.15,"Dark","LFD",0.864145946,0,58.828,NA,108.6222606,102.8725735,0.541857396,0.94551988,872.4435484,406.3387097,NA,NA,0.32228855,TRUE
6,"D10",26.26,21.09,3.15,"Full day","LFD",0.805863014,0,58.828,NA,100.1497011,95.23923557,0.500024567,0.950036115,621.9221311,272.0409836,NA,NA,0.305838447,TRUE
7,"D11",31.22,22.56,6.66,"Light","LFD",0.636666667,0,46.4894,NA,105.2992047,94.54425333,0.51955011,0.895646092,324.9,110.75,NA,NA,0.117116557,TRUE
8,"D11",31.22,22.56,6.66,"Dark","LFD",0.934351351,0,57.491,NA,131.529427,123.2563402,0.654678984,0.936532639,858.300813,398.2276423,NA,NA,0.279672367,TRUE
9,"D11",31.22,22.56,6.66,"Full day","LFD",0.787547945,0,57.491,NA,118.5762308,109.0775319,0.587948676,0.916341752,594.8930041,256.2633745,NA,NA,0.199599269,TRUE
10,"D12",29.33,22.12,5.35,"Full day","LFD",0.708008219,0,51.4936,NA,107.5318281,99.34309815,0.533656401,0.925857551,586.4938272,248.7983539,NA,NA,0.174351818,TRUE
