"X","Subject.ID","Total.Mass","Lean.Mass","Fat.Mass","Time.of.Day","Group","Hourly.Food.Intake","Hourly.Water.Intake","Cumulative.Food.Intake","Cumulative.Water.Intake","Oxygen.Consumption","Carbon.Dioxide.Production","Energy.Expenditure","Respiratory.Exchange.Ratio","Locomotor.Activity","Ambulatory.Activity","Pedestrian.Locomotion","Total.Distance..includes.fine.movement.","Energy.Balance","Acclimated"
1,"D1",22.59,17.82,2.85,"Full day","UC Davis",0.452033333,0,27.122,NA,95.12801759,85.43400191,0.469389515,0.894324903,0.139037954,302.7688442,NA,NA,-0.017356181,TRUE
2,"D1",22.59,17.82,2.85,"Dark","UC Davis",0.591336,0,27.122,NA,107.1485106,98.6553088,0.531385035,0.919688599,0.225404775,536.5903614,NA,NA,0.059950965,TRUE
3,"D1",22.59,17.82,2.85,"Light","UC Davis",0.352531429,0,26.7782,NA,86.52714759,75.97392888,0.425030651,0.876176741,0.077241004,135.4655172,NA,NA,-0.072499222,TRUE
4,"D10",19.44,15.3,2.54,"Full day","UC Davis",0.411424324,0,30.4454,NA,85.84523433,76.38179421,0.422794334,0.883555932,0.14146075,269.0688259,NA,NA,-0.011370009,TRUE
5,"D10",19.44,15.3,2.54,"Dark","UC Davis",0.513577778,0,29.6814,NA,94.33775733,87.34572042,0.468389475,0.923660839,0.193919115,401.6916667,NA,NA,0.045188303,TRUE
6,"D10",19.44,15.3,2.54,"Light","UC Davis",0.314647368,0,30.4454,NA,77.82080315,66.0221789,0.37971231,0.845661531,0.091893791,143.7559055,NA,NA,-0.065064942,TRUE
7,"D11",22.2,17.42,2.74,"Dark","UC Davis",0.564511111,0,30.5982,NA,104.6224905,95.9729355,0.518463313,0.915395021,0.18833152,386.1583333,NA,NA,0.046047799,TRUE
8,"D11",22.2,17.42,2.74,"Light","UC Davis",0.319673684,0,32.47,NA,88.91097213,77.24279307,0.435828665,0.868882531,0.070550838,95.73228346,NA,NA,-0.11615498,TRUE
9,"D11",22.2,17.42,2.74,"Full day","UC Davis",0.438783784,0,32.47,NA,96.54409846,86.34245741,0.475975052,0.891479692,0.127772222,236.8299595,NA,NA,-0.037191268,TRUE
10,"D12",20.96,16.2,2.77,"Full day","UC Davis",0.508472973,0,37.627,NA,90.89583887,85.02174211,0.452254545,0.932636582,0.142648452,337.0850202,NA,NA,0.056218428,TRUE
11,"D12",20.96,16.2,2.77,"Dark","UC Davis",0.634544444,0,36.1754,NA,98.20750917,95.34368667,0.492485906,0.971806467,0.19919115,490.3,NA,NA,0.142058539,TRUE
12,"D12",20.96,16.2,2.77,"Light","UC Davis",0.389036842,0,37.627,NA,83.98717402,75.26872362,0.41424066,0.895625668,0.08922228,192.3149606,NA,NA,-0.025203818,TRUE
13,"D13",21.01,16.03,3.07,"Full day","UC Davis",0.444648,0,33.1958,NA,88.20357526,79.91882385,0.436000511,0.900635751,0.141840497,254.7975709,NA,NA,0.008647489,TRUE
14,"D13",21.01,16.03,3.07,"Light","UC Davis",0.293846154,0,33.1958,NA,81.90788858,70.32095575,0.400573967,0.855714154,0.084443035,110.976378,NA,NA,-0.106727813,TRUE
15,"D13",21.01,16.03,3.07,"Dark","UC Davis",0.608016667,0,31.6296,NA,94.86651033,90.07656758,0.473493603,0.948177776,0.202586144,407.0083333,NA,NA,0.134523063,TRUE
16,"D14",21.17,16.25,2.98,"Dark","UC Davis",0.4584,0,27.4658,NA,104.2120189,92.21057433,0.512684456,0.880440139,0.145564019,298.3666667,NA,NA,-0.054284456,TRUE
