,group1,group2,group3,group4,group_names,diet_names,dietCal,colors,xrange,outliers,errorbars,mri,light,exc,Total.Mass,Lean.Mass,Fat.Mass,id
1,D1,M1,Y1,V1,UC Davis,ResearchDiet 10 kcal% Fat 35% sucrose 3.82kcal/g,14.9,#CC79A7,0,Yes,Yes,No,7,112,22.59,17.82,2.85,D1
2,D2,M2,Y2,V2,UMass,ResearchDiet 10 kcal% Fat 35% sucrose 3.82kcal/g,14.9,#E69F00,96,NA,NA,,19,112,23.44,18.03,3.59,D2
3,D3,M3,Y3,V3,Yale,ResearchDiet 10 kcal% Fat 35% sucrose 3.82kcal/g,14.9,#009E73,NA,NA,NA,NA,NA,112,23.81,18.51,2.64,D3
4,D4,M4,Y4,V4,Vanderbilt,ResearchDiet 10 kcal% Fat 35% sucrose 3.82kcal/g,14.9,#56B4E9,NA,NA,NA,NA,NA,112,21.69,16.85,2.63,D4
5,D5,M5,Y5,V5,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,22.36,17.45,2.54,D5
6,D7,M6,Y6,V6,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,22.36,17.22,2.78,D7
7,D8,M7,Y7,V7,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,21.15,16.6,2.31,D8
8,D9,M8,Y8,V8,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,23.2,18.03,2.98,D9
9,D10,M10,Y9,V9,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,19.44,15.3,2.54,D10
10,D11,M11,Y10,V10,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,22.2,17.42,2.74,D11
11,D12,M12,Y11,V11,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,20.96,16.2,2.77,D12
12,D13,M13,Y12,V12,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,21.01,16.03,3.07,D13
13,D14,NA,Y13,V13,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,21.17,16.25,2.98,D14
14,D15,NA,Y14,V14,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,20.09,15.43,2.63,D15
15,D16,NA,Y15,V15,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,21.25,16.42,2.77,D16
16,D17,NA,Y16,V16,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,20.43,16,2.35,D17
17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,17.45,15.81,0.805,M1
18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,20.2,18.16,1.255,M2
19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,19.25,17.315,1.24,M3
20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,18.9,16.805,1.27,M4
21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,20.15,18.14,1.025,M5
22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,20.05,18.2,1.07,M6
23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,19.9,18.355,0.96,M7
24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,18.4,16.93,0.87,M8
25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,19,17,1.02,M10
26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,20.6,18.755,1.17,M11
