EarTag,LabID,CageID,date_of_birth,sacrifice_date,group,bw_13w,bw_15w,bw_24w,bw_54w,bw_56w,bw_93w,bw_95w,bw_64w,bw_103w,ipGTT01_age,ipGTT01_vol_glc,ipGTT01_0min_gly,ipGTT01_15min_gly,ipGTT01_30min_gly,ipGTT01_45min_gly,ipGTT01_60min_gly,ipGTT01_90min_gly,ipGTT01_120min_gly,ipGTT01_150min_gly,ipGTT01_180min_gly,ipGTT01_date,ipGTT01_done_by,VO2max01_age,VO2max01_VO2basal,VO2max01_RERbasal,VO2max01_VO2max,VO2max01_RERmax,VO2max01_distance_run,VO2max01_deltaVO2,VO2max01_deltaRER,VO2max01_VO2_increase_perc,VO2max01_RER_increase_perc,VO2max01_date,EchoMRI_age,EchoMRI_fat,EchoMRI_lean,EchoMRI_weight,EchoMRI_fat_perc,EchoMRI_lean_perc,EchoMRI_date,NIBP01_diastolic_average,NIBP01_systolic_average,NIBP01_pulse_average,NIBP02_diastolic_average,NIBP02_systolic_average,NIBP02_pulse_average,NIBP01_diastolic_stdev,NIBP01_systolic_stdev,NIBP01_pulse_stdev,NIBP02_diastolic_stdev,NIBP02_systolic_stdev,NIBP02_pulse_stdev,NIBP_age,bw_at_sacrifice,tissue_weight_at_sacrifice_heart,tissue_weight_at_sacrifice_liver,tissue_weight_at_sacrifice_epiWAT,tissue_weight_at_sacrifice_BAT,tissue_weight_at_sacrifice_gastrocnemius,tissue_weight_at_sacrifice_soleus
RHO-2860,1-R,SRHO-00198,2010.05.18,2010.11.10,young,28.13,32.49,32.42,,,,,,,15,330,137,391,393,371,408,311,239,211,188,2010.10.26,SL-CT-CC-UDP,16,74.5,0.833,110,0.955,241.5,35.5,0.122,47.65100671,14.64585834,2006.09.14,15,3.53,24.802,29.29,12.05189484,84.67736429,2010.08.30,,,,,,,,,,,,,,32.42,0.1627,1.0766,1.1124,0.1548,0.3266,0.0263
RHO-2861,2-L,SRHO-00198,2010.05.18,2010.11.10,young,28.95,34.71,33.52,,,,,,,15,350,136,178,198,197,207,190,176,163,155,2010.10.26,SL-CT-CC-UDP,16,75.7,0.828,100,0.946,203.1,24.3,0.118,32.1003963,14.25120773,2006.09.14,15,3.664,26.316,31.02,11.81173436,84.83558994,2010.08.30,,,,,,,,,,,,,,33.52,0.1743,1.1896,1.237,0.232,0.3689,0.018
RHO-2862,3-RL,SRHO-00198,2010.05.18,2010.11.10,young,27.81,31.28,30.4,,,,,,,15,310,142,467,410,377,382,238,185,161,154,2010.10.26,SL-CT-CC-UDP,16,93.6,0.791,117,0.956,262.7,23.4,0.165,25,20.8596713,2006.09.14,15,2.475,24.777,28.36,8.727080395,87.36600846,2010.08.30,,,,,,,,,,,,,,30.4,0.159,1.0711,0.7013,0.2107,0.3513,0.021
RHO-2863,4-2R,SRHO-00198,2010.05.18,2010.11.10,young,26.81,27.62,26.08,,,,,,,15,280,109,366,358,306,296,200,170,149,138,2010.10.26,SL-CT-CC-UDP,,,,,,,,,,,,15,1.985,24.069,27.07,7.332840783,88.91392686,2010.08.30,,,,,,,,,,,,,,26.08,0.1489,0.8921,0.3881,0.0938,0.3105,0.0206
RHO-2864,5-2L,SRHO-00198,2010.05.18,2010.11.10,young,27.56,31.6,30.25,,,,,,,15,320,125,385,384,396,349,365,288,226,178,2010.10.26,SL-CT-CC-UDP,,,,,,,,,,,,15,2.944,25.33,28.87,10.19743679,87.73813647,2010.08.30,,,,,,,,,,,,,,30.25,0.165,1.568,0.806,0.1766,0.348,0.0233
RHO-2865,6-R,SRHO-00199,2010.05.18,2010.11.12,young,27.15,29.15,28.19,,,,,,,15,290,121,454,359,367,392,367,348,237,167,2010.10.27,SL-CT-CC-UDP,16,83.25,0.877,110,1.112,318.3,26.75,0.235,32.13213213,26.7958951,2006.09.12,15,2.545,24.687,28.14,9.044065387,87.72921109,2010.08.31,57.20720497,94.57412465,688.4050415,79.28896977,103.7351151,670.2813459,14.75278827,11.8546544,20.21852976,4.246919816,8.708712058,26.62925668,17,28.19,0.1715,1.0181,0.5588,0.0744,0.3486,0.0232
RHO-2866,7-L,SRHO-00199,2010.05.18,2010.11.12,young,28.86,31.26,30.23,,,,,,,15,310,124,390,354,338,306,218,184,171,149,2010.10.27,SL-CT-CC-UDP,16,77.4,0.857,106,1.119,292,28.6,0.262,36.95090439,30.57176196,2006.09.12,15,2.403,26.474,29.92,8.031417112,88.48262032,2010.08.31,72.65653082,99.60588782,558.3486938,85.43288275,115.9588711,535.3451679,17.78722046,12.21215301,48.67112682,15.07627873,7.559338277,73.25760814,17,30.23,,,0.7671,0.1052,0.3325,0.0234
RHO-2867,8-RL,SRHO-00199,2010.05.18,2010.11.12,young,28.13,31.83,31.02,,,,,,,15,320,109,353,378,370,305,237,181,173,157,2010.10.27,SL-CT-CC-UDP,16,87.3,0.842,101,1.063,333.9,13.7,0.221,15.6930126,26.24703088,2006.09.12,15,3.436,25.024,29.38,11.69503063,85.17358747,2010.08.31,73.46573416,101.2579989,627.6851501,79.69851739,99.41665268,620.2857099,15.50708991,10.63663123,27.42219225,9.971103276,6.883499235,42.24350309,17,31.02,0.169,1.1125,0.9204,0.0814,0.3653,0.0194
RHO-2868,9-2R,SRHO-00199,2010.05.18,2010.11.12,young,29.37,33.05,31.28,,,,,,,15,330,159,492,468,387,377,270,216,184,176,2010.10.27,SL-CT-CC-UDP,16,69.7,0.822,97,1.04,269.9,27.3,0.218,39.16786227,26.52068127,2006.09.12,15,3.212,26.593,30.54,10.51735429,87.07596595,2010.08.31,80.20261522,113.011498,705.3481358,91.0086846,118.7236811,714.3553345,17.76526898,11.46288035,21.14746949,21.06359454,14.18896929,25.95272567,17,31.28,0.161,1.3616,0.83,0.0999,0.207,0.0221
RHO-2869,10-2L,SRHO-00199,2010.05.18,2010.11.12,young,30.1,31.45,30.37,,,,,,,15,310,120,313,359,313,290,205,151,145,124,2010.10.27,SL-CT-CC-UDP,,,,,,,,,,,,15,2.733,27.881,31.97,8.548639349,87.20988427,2010.08.31,81.64929295,121.8620841,704.8906453,91.13775126,132.2574259,705.7966512,13.39270541,12.44501008,23.47966862,17.04145589,8.374079448,19.35531297,17,30.37,0.1521,1.2334,0.4953,0.0836,0.3204,0.023
